Reference	Value	Footprint	Datasheet	Sim.Device	Sim.Pins	Qty														
"R2, R12"	470	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	~			2		Carbon Film Resistor 1/4 Watt 470 Ohm | Jameco Valuepro												
R3	10	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	~			1		Carbon Film Resistor 1/4 Watt 10 Ohm | Jameco Valuepro												
R4-R11	240	Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal	~			8		Carbon Film Resistor 1/4 Watt 240 Ohm | Jameco Valuepro												
RN1-RN3	4.7K	Resistor_THT:R_Array_SIP6	http://www.vishay.com/docs/31509/csc.pdf			3		4606X-101-472LF Bourns Inc. | Resistors | DigiKey												
RV1	10K_Potentiometer	Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical	~			1		"T73YP103KT20 Vishay Sfernice | Potentiometers, Variable Resistors | DigiKey"												
SW1	SW_Push	Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS	~			1		PTS645VK58-2 LFS C&K | Switches | DigiKey							alternate: PTS645VM31-2 LFS C&K | Switches | DigiKey					alternate: PTS645VK312LFS C&K | Switches | DigiKey
U1	DS1813-5	Package_TO_SOT_THT:TO-92				1		DS1813-5+ Analog Devices Inc./Maxim Integrated | Integrated Circuits (ICs) | DigiKey								alternate: Microschip MCP130			alternate:10uf Tantlum cap	
U2	MC6809	Package_DIP:DIP-40_W15.24mm_Socket	http://pdf.datasheetcatalog.com/datasheet/motorola/MC68B09S.pdf			1		MC6809B or HD63B09P | Ebay												
U2		40Pin DIP socket						"DILB40P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
U3	27C256	Package_DIP:DIP-28_W15.24mm_Socket	http://ww1.microchip.com/downloads/en/DeviceDoc/doc0014.pdf			1		WinBond W27C257-10 | Ebay												
U3		28Pin DIP Socket						"DILB28P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
U4	28C256	Package_DIP:DIP-28_W15.24mm_Socket	http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf			1		Atmel AT28C64B-15 (8Kx8) or AT28C256 (32Kx8) | Ebay												
U4		28Pin DIP Socket						"DILB28P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
U5	W24512AK	Package_DIP:DIP-32_W7.62mm	https://pdf1.alldatasheet.com/datasheet-pdf/view/47639/WINBOND/W24512AK-15.html			1		W24512AK-15 (64Kx8) or UM61512AK-15 (64Kx8) or HM62256 (32Kx8) | Ebay												
U5		32Pin DIP socket narrow 						two 16pin sockets stacked end to end.	IC Socket 16MTLP | Jameco Valuepro or use machined strip header sockets											
U6	GAL22V10	Package_DIP:DIP-24_W7.62mm_Socket	~			1		GAL22V10D-10LP | Ebay												
U6		24Pin DIP socket narrow						16pin and 8 pin narrow socket stacked end to end												
U7	PCF8584	Package_DIP:DIP-20_W7.62mm	http://www.nxp.com/documents/data_sheet/PCF8584.pdf			1		PCF8584P | Ebay												
U7		20Pin dip socket narrow						"DILB20P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
U8	24LC256	Package_DIP:DIP-8_W7.62mm_Socket	http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf			1		24LC256-I-P EEPROM Memory Microchip Technology | Jameco												
U8		8 pin DIP socket						IC Socket 24LPD.3 | Jameco Electronics												
U9	74LS138	Package_DIP:DIP-16_W7.62mm_Socket	http://www.ti.com/lit/gpn/sn74LS138			1		CD74HCT138E Texas Instruments | Integrated Circuits (ICs) | DigiKey Marketplace												
U9		16{in DIP socket						"DILB16P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
"U10, U11"	65C22	Package_DIP:DIP-40_W15.24mm_Socket	http://www.6502.org/documents/datasheets/mos/mos_6522_preliminary_nov_1977.pdf			2		R65C22P2 | Ebay												
"U10, U11"		40Pin DIP socket						"DILB40P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
"U12, U13"	65C51	Package_DIP:DIP-28_W15.24mm_Socket	http://www.6502.org/documents/datasheets/mos/mos_6551_acia.pdf			2		R65C51P2 | Ebay												
"U12, U13"		28Pin DIP socket						"DILB28P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
"U14, U15"	MAX232	Package_DIP:DIP-16_W7.62mm_Socket	http://www.ti.com/lit/ds/symlink/max232.pdf			2		MAX232EIN Texas Instruments | Integrated Circuits (ICs) | DigiKey Marketplace												
"U14, U15"		16Pin DIP Socket						"DILB16P-223TLF Amphenol ICC (FCI) | Connectors, Interconnects | DigiKey"												
X1	8.00MHz	Oscillator:Oscillator_DIP-8	http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf			1		"ECS-2200BX-080 ECS Inc. | Crystals, Oscillators, Resonators | DigiKey"												
X2	1.8432 Mhz	Oscillator:Oscillator_DIP-8	http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf			1		"ECS-2100A-018 ECS Inc. | Crystals, Oscillators, Resonators | DigiKey"												
		4/8Pin DIP socket machined				2		1108800 Aries Electronics IC Socket | Jameco Electronics												
																				
	330	1/4 watt resistor (alternate for front panel power led) R12						alternate for front panel power led resistor R12 (depending on current draw of case power LED												
																				
		"vt100 brd  cable Molex 2695 terminal 2759, 6459, 41572"						"0008650804 Molex | Connectors, Interconnects | DigiKey"						for TTL serial cables						
		vt100 data cable Molex 2695 4 pos housing						"0022013047 Molex | Connectors, Interconnects | DigiKey"						for serial TTL cables						
		vt100 pwr cable Molex 2695 2 pos housing																		
																				
		Wall wart power supply						Jameco 252720  AC to DC Power Supply Wall Adapter Single Output 5 Volt 1 Amp 5 Watt36												
